"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.073782037E1,4.620000124E-1,-9.679050446E0,2.868000031E0
3.075782037E1,4.620000124E-1,-9.679050446E0,2.868000031E0
3.077782037E1,4.620000124E-1,-9.679050446E0,2.868000031E0
3.079782037E1,4.620000124E-1,-9.679050446E0,2.868000031E0
3.081782037E1,9.799500704E-1,-1.046400070E1,3.117000103E0
3.083782037E1,9.799500704E-1,-1.046400070E1,3.117000103E0
3.085782037E1,9.799500704E-1,-1.046400070E1,3.117000103E0
3.087782037E1,9.799500704E-1,-1.046400070E1,3.117000103E0
3.089782037E1,9.799500704E-1,-1.046400070E1,3.117000103E0
3.091782037E1,5.389500260E-1,-9.928050041E0,2.752950191E0
3.093782037E1,5.389500260E-1,-9.928050041E0,2.752950191E0
3.095782037E1,5.389500260E-1,-9.928050041E0,2.752950191E0
3.097782037E1,5.389500260E-1,-9.928050041E0,2.752950191E0
3.099782037E1,5.389500260E-1,-9.928050041E0,2.752950191E0
3.101782037E1,3.316050053E0,-8.779050827E0,4.591050148E0
3.103782037E1,3.316050053E0,-8.779050827E0,4.591050148E0
3.105782037E1,5.173050404E0,-8.970000267E0,3.978000164E0
3.107782037E1,5.173050404E0,-8.970000267E0,3.978000164E0
3.109782037E1,5.173050404E0,-8.970000267E0,3.978000164E0
3.111782037E1,5.173050404E0,-8.970000267E0,3.978000164E0
3.113782037E1,5.173050404E0,-8.970000267E0,3.978000164E0
3.115782037E1,4.101000309E0,-9.105000496E0,-2.397000074E0
3.117782037E1,4.101000309E0,-9.105000496E0,-2.397000074E0
3.119782037E1,4.101000309E0,-9.105000496E0,-2.397000074E0
3.121782037E1,4.101000309E0,-9.105000496E0,-2.397000074E0
3.123782037E1,4.101000309E0,-9.105000496E0,-2.397000074E0
3.125782037E1,5.211000443E0,-9.142950058E0,3.787050247E0
3.127782037E1,5.211000443E0,-9.142950058E0,3.787050247E0
3.129782037E1,3.756000280E0,-8.568000793E0,-3.480000198E-1
3.131782037E1,3.756000280E0,-8.568000793E0,-3.480000198E-1
3.133782037E1,3.756000280E0,-8.568000793E0,-3.480000198E-1
3.135782037E1,3.756000280E0,-8.568000793E0,-3.480000198E-1
3.137782037E1,3.756000280E0,-8.568000793E0,-3.480000198E-1
3.139782037E1,1.669050097E0,-9.736050606E0,2.925000191E0
3.141782037E1,1.669050097E0,-9.736050606E0,2.925000191E0
3.143782037E1,2.262000084E0,-9.601950645E0,-3.870000243E-1
3.145782037E1,2.262000084E0,-9.601950645E0,-3.870000243E-1
3.147782037E1,2.262000084E0,-9.601950645E0,-3.870000243E-1
3.149782037E1,3.507000208E0,-1.006200027E1,-2.359050035E0
3.151782037E1,3.507000208E0,-1.006200027E1,-2.359050035E0
3.153782037E1,2.416050196E0,-1.124895096E1,-4.830000103E-1
3.155782037E1,2.416050196E0,-1.124895096E1,-4.830000103E-1
3.157782037E1,2.416050196E0,-1.124895096E1,-4.830000103E-1
3.159782037E1,2.416050196E0,-1.124895096E1,-4.830000103E-1
3.161782037E1,2.416050196E0,-1.124895096E1,-4.830000103E-1
3.163782037E1,2.875050068E0,-9.622050285E0,7.039500475E-1
3.165782037E1,2.875050068E0,-9.622050285E0,7.039500475E-1
3.167782037E1,2.875050068E0,-9.622050285E0,7.039500475E-1
3.169782037E1,2.875050068E0,-9.622050285E0,7.039500475E-1
3.171782037E1,2.875050068E0,-9.622050285E0,7.039500475E-1
3.173782037E1,1.057305050E1,-9.181050301E0,1.290000081E-1
3.175782037E1,1.057305050E1,-9.181050301E0,1.290000081E-1
3.177782037E1,6.436950207E0,-9.813000679E0,-7.995000482E-2
3.179782037E1,6.436950207E0,-9.813000679E0,-7.995000482E-2
3.181782037E1,6.436950207E0,-9.813000679E0,-7.995000482E-2
3.183782037E1,4.483950138E0,-8.607000351E0,3.589500189E-1
3.185782037E1,4.483950138E0,-8.607000351E0,3.589500189E-1
3.187782037E1,4.714050293E0,-6.499950409E0,2.440500110E-1
3.189782037E1,4.714050293E0,-6.499950409E0,2.440500110E-1
3.191782037E1,4.714050293E0,-6.499950409E0,2.440500110E-1
3.193782037E1,4.714050293E0,-6.499950409E0,2.440500110E-1
3.195782037E1,4.714050293E0,-6.499950409E0,2.440500110E-1
3.197782037E1,5.422050476E0,-4.948950291E0,-6.930000186E-1
3.199782037E1,5.422050476E0,-4.948950291E0,-6.930000186E-1
3.201782037E1,5.422050476E0,-4.948950291E0,-6.930000186E-1
3.203782037E1,5.422050476E0,-4.948950291E0,-6.930000186E-1
3.205782037E1,5.422050476E0,-4.948950291E0,-6.930000186E-1
3.207782037E1,6.246000290E0,-4.585050106E0,-9.420000315E-1
3.209782037E1,6.246000290E0,-4.585050106E0,-9.420000315E-1
3.211782037E1,5.977050304E0,-3.877050161E0,-1.306050062E0
3.213782037E1,5.977050304E0,-3.877050161E0,-1.306050062E0
3.215782037E1,5.977050304E0,-3.877050161E0,-1.306050062E0
3.217782037E1,5.977050304E0,-3.877050161E0,-1.306050062E0
3.219782037E1,5.977050304E0,-3.877050161E0,-1.306050062E0
3.221782037E1,1.371405029E1,-8.664000511E0,5.310000181E-1
3.223782037E1,1.371405029E1,-8.664000511E0,5.310000181E-1
3.225782037E1,5.997000217E0,-5.599950314E0,-3.775950193E0
3.227782037E1,5.997000217E0,-5.599950314E0,-3.775950193E0
3.229782037E1,5.997000217E0,-5.599950314E0,-3.775950193E0
3.231782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.233782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.235782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.237782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.239782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.241782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.243782037E1,6.054000378E0,-8.224050522E0,-7.699500322E-1
3.245782037E1,4.599000454E0,-9.430050850E0,1.336050034E0
3.247782037E1,4.599000454E0,-9.430050850E0,1.336050034E0
3.249782037E1,4.197000027E0,-9.697950363E0,1.623000026E0
3.251782037E1,4.197000027E0,-9.697950363E0,1.623000026E0
3.253782037E1,4.197000027E0,-9.697950363E0,1.623000026E0
3.255782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.257782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.259782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.261782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.263782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.265782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.267782037E1,3.009000063E0,-1.044495010E1,1.776000142E0
3.269782037E1,3.985950232E0,-7.917000294E0,6.270000339E-1
3.271782037E1,3.985950232E0,-7.917000294E0,6.270000339E-1
3.273782037E1,3.985950232E0,-7.917000294E0,6.270000339E-1
3.275782037E1,3.985950232E0,-7.917000294E0,6.270000339E-1
3.277782037E1,3.985950232E0,-7.917000294E0,6.270000339E-1
3.279782037E1,4.101000309E0,-9.315000534E0,1.029000044E0
3.281782037E1,4.101000309E0,-9.315000534E0,1.029000044E0
3.283782037E1,3.220050097E0,-9.487950325E0,1.315950036E0
3.285782037E1,3.220050097E0,-9.487950325E0,1.315950036E0
3.287782037E1,3.220050097E0,-9.487950325E0,1.315950036E0
3.289782037E1,1.477050066E0,-9.105000496E0,8.950500488E-1
3.291782037E1,1.477050066E0,-9.105000496E0,8.950500488E-1
3.293782037E1,-1.300500035E-1,-9.870000839E0,7.420500517E-1
3.295782037E1,-1.300500035E-1,-9.870000839E0,7.420500517E-1
3.297782037E1,-1.300500035E-1,-9.870000839E0,7.420500517E-1
3.299782037E1,-1.300500035E-1,-9.870000839E0,7.420500517E-1
3.301782037E1,-1.300500035E-1,-9.870000839E0,7.420500517E-1
3.303782037E1,4.063050270E0,-1.040700054E1,8.190000653E-1
3.305782037E1,4.063050270E0,-1.040700054E1,8.190000653E-1
3.307782037E1,4.063050270E0,-1.040700054E1,8.190000653E-1
3.309782037E1,4.063050270E0,-1.040700054E1,8.190000653E-1
3.311782037E1,4.063050270E0,-1.040700054E1,8.190000653E-1
3.313782037E1,2.338950157E0,-1.507905102E1,3.210000098E-1
3.315782037E1,2.338950157E0,-1.507905102E1,3.210000098E-1
3.317782037E1,2.491950035E0,-1.687905121E1,6.649500132E-1
3.319782037E1,2.491950035E0,-1.687905121E1,6.649500132E-1
3.321782037E1,2.491950035E0,-1.687905121E1,6.649500132E-1
3.323782037E1,2.491950035E0,-1.687905121E1,6.649500132E-1
3.325782037E1,2.491950035E0,-1.687905121E1,6.649500132E-1
3.327782037E1,3.009000063E0,-7.993950367E0,1.450950027E0
3.329782037E1,3.009000063E0,-7.993950367E0,1.450950027E0
3.331782037E1,3.009000063E0,-7.993950367E0,1.450950027E0
3.333782037E1,3.009000063E0,-7.993950367E0,1.450950027E0
3.335782037E1,3.009000063E0,-7.993950367E0,1.450950027E0
3.337782037E1,6.073050499E0,-1.019595051E1,-3.277950048E0
3.339782037E1,6.073050499E0,-1.019595051E1,-3.277950048E0
3.341782037E1,4.714050293E0,-9.832050323E0,1.144050002E0
3.343782037E1,4.714050293E0,-9.832050323E0,1.144050002E0
3.345782037E1,4.714050293E0,-9.832050323E0,1.144050002E0
3.347782037E1,4.714050293E0,-9.832050323E0,1.144050002E0
3.349782037E1,4.714050293E0,-9.832050323E0,1.144050002E0
3.351782037E1,3.105000257E0,-7.075050354E0,2.250000089E-1
3.353782037E1,3.105000257E0,-7.075050354E0,2.250000089E-1
3.355782037E1,3.105000257E0,-7.075050354E0,2.250000089E-1
3.357782037E1,3.105000257E0,-7.075050354E0,2.250000089E-1
3.359782037E1,3.105000257E0,-7.075050354E0,2.250000089E-1
3.361782037E1,4.330950260E0,-7.879050255E0,1.290000081E-1
3.363782037E1,4.330950260E0,-7.879050255E0,1.290000081E-1
3.365782037E1,4.330950260E0,-7.879050255E0,1.290000081E-1
3.367782037E1,4.330950260E0,-7.879050255E0,1.290000081E-1
3.369782037E1,4.330950260E0,-7.879050255E0,1.290000081E-1
3.371782037E1,2.914050102E0,-5.695950508E0,-1.189500093E-1
3.373782037E1,2.914050102E0,-5.695950508E0,-1.189500093E-1
3.375782037E1,3.889950275E0,-3.532050133E0,-2.295000106E-2
3.377782037E1,3.889950275E0,-3.532050133E0,-2.295000106E-2
3.379782037E1,3.889950275E0,-3.532050133E0,-2.295000106E-2
3.381782037E1,3.889950275E0,-3.532050133E0,-2.295000106E-2
3.383782037E1,3.889950275E0,-3.532050133E0,-2.295000106E-2
3.385782037E1,6.493950367E0,-5.389950275E0,2.440500110E-1
3.387782037E1,6.493950367E0,-5.389950275E0,2.440500110E-1
3.389782037E1,7.738950253E0,-8.414999962E0,2.158950090E0
3.391782037E1,7.738950253E0,-8.414999962E0,2.158950090E0
3.393782037E1,7.738950253E0,-8.414999962E0,2.158950090E0
3.395782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.397782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.399782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.401782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.403782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.405782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.407782037E1,8.542950630E0,-1.276200104E1,-1.726950049E0
3.409782037E1,3.391950130E0,-8.434050560E0,2.464950085E0
3.411782037E1,3.391950130E0,-8.434050560E0,2.464950085E0
3.413782037E1,3.391950130E0,-8.434050560E0,2.464950085E0
3.415782037E1,3.391950130E0,-8.434050560E0,2.464950085E0
3.417782037E1,3.391950130E0,-8.434050560E0,2.464950085E0
3.419782037E1,2.779950142E0,-8.875050545E0,7.420500517E-1
3.421782037E1,2.779950142E0,-8.875050545E0,7.420500517E-1
3.423782037E1,2.301000118E0,-6.922050476E0,-7.510500550E-1
3.425782037E1,2.301000118E0,-6.922050476E0,-7.510500550E-1
3.427782037E1,2.301000118E0,-6.922050476E0,-7.510500550E-1
3.429782037E1,2.301000118E0,-6.922050476E0,-7.510500550E-1
3.431782037E1,2.301000118E0,-6.922050476E0,-7.510500550E-1
3.433782037E1,4.005000114E0,-8.299950600E0,9.720000625E-1
3.435782037E1,4.005000114E0,-8.299950600E0,9.720000625E-1
3.437782037E1,4.005000114E0,-8.299950600E0,9.720000625E-1
3.439782037E1,4.005000114E0,-8.299950600E0,9.720000625E-1
3.441782037E1,4.005000114E0,-8.299950600E0,9.720000625E-1
3.443782037E1,4.693950176E0,-9.085050583E0,8.380500674E-1
