"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.034350509E0,9.432499856E-2,-2.648249865E-1,-1.473999918E-1
5.054350509E0,9.432499856E-2,-2.648249865E-1,-1.473999918E-1
5.074350509E0,9.432499856E-2,-2.648249865E-1,-1.473999918E-1
5.094350509E0,9.432499856E-2,-2.648249865E-1,-1.473999918E-1
5.114350509E0,-4.262499977E-3,-2.568500042E-1,3.107500076E-2
5.134350509E0,-4.262499977E-3,-2.568500042E-1,3.107500076E-2
5.154350509E0,-1.032624990E-1,-2.745875120E-1,1.552374959E-1
5.174350509E0,-1.032624990E-1,-2.745875120E-1,1.552374959E-1
5.194350509E0,-1.032624990E-1,-2.745875120E-1,1.552374959E-1
5.214350509E0,-1.032624990E-1,-2.745875120E-1,1.552374959E-1
5.234350509E0,-1.032624990E-1,-2.745875120E-1,1.552374959E-1
5.254350509E0,-4.357374907E-1,2.213750035E-1,8.098750114E-1
5.274350509E0,-4.357374907E-1,2.213750035E-1,8.098750114E-1
5.294350509E0,-4.357374907E-1,2.213750035E-1,8.098750114E-1
5.314350509E0,-4.357374907E-1,2.213750035E-1,8.098750114E-1
5.334350509E0,-4.357374907E-1,2.213750035E-1,8.098750114E-1
5.354350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.374350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.394350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.414350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.434350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.454350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.474350509E0,-4.347749949E-1,6.393750012E-2,6.910749674E-1
5.494350509E0,-2.261874974E-1,-6.294749975E-1,6.634374857E-1
5.514350509E0,-2.261874974E-1,-6.294749975E-1,6.634374857E-1
5.534350509E0,-2.261874974E-1,-6.294749975E-1,6.634374857E-1
5.554350509E0,-2.261874974E-1,-6.294749975E-1,6.634374857E-1
5.574350509E0,-2.261874974E-1,-6.294749975E-1,6.634374857E-1
5.594350509E0,-2.732124925E-1,-8.736749887E-1,9.211124778E-1
5.614350509E0,-2.732124925E-1,-8.736749887E-1,9.211124778E-1
5.634350509E0,-2.450249940E-1,-9.022749662E-1,8.915500045E-1
5.654350509E0,-2.450249940E-1,-9.022749662E-1,8.915500045E-1
5.674350509E0,-2.450249940E-1,-9.022749662E-1,8.915500045E-1
5.694350509E0,-1.039500013E-1,-9.447624683E-1,4.450874925E-1
5.714350509E0,-1.039500013E-1,-9.447624683E-1,4.450874925E-1
5.734350509E0,2.968625128E-1,-7.636749744E-1,-2.282499894E-2
5.754350509E0,2.968625128E-1,-7.636749744E-1,-2.282499894E-2
5.774350509E0,2.968625128E-1,-7.636749744E-1,-2.282499894E-2
5.794350509E0,2.968625128E-1,-7.636749744E-1,-2.282499894E-2
5.814350509E0,2.968625128E-1,-7.636749744E-1,-2.282499894E-2
5.834350509E0,4.563624859E-1,-6.572499871E-1,1.357125044E-1
5.854350509E0,4.563624859E-1,-6.572499871E-1,1.357125044E-1
5.874350509E0,4.563624859E-1,-6.572499871E-1,1.357125044E-1
5.894350509E0,4.563624859E-1,-6.572499871E-1,1.357125044E-1
5.914350509E0,4.563624859E-1,-6.572499871E-1,1.357125044E-1
5.934350509E0,2.338874936E-1,-1.087900043E0,2.358125001E-1
5.954350509E0,2.338874936E-1,-1.087900043E0,2.358125001E-1
5.974350509E0,9.019999951E-2,-1.318762541E0,1.079374999E-1
5.994350509E0,9.019999951E-2,-1.318762541E0,1.079374999E-1
6.014350509E0,9.019999951E-2,-1.318762541E0,1.079374999E-1
6.034350509E0,9.019999951E-2,-1.318762541E0,1.079374999E-1
6.054350509E0,9.019999951E-2,-1.318762541E0,1.079374999E-1
6.074350509E0,4.481124878E-1,-7.973625064E-1,-4.109874964E-1
6.094350509E0,4.481124878E-1,-7.973625064E-1,-4.109874964E-1
6.114350509E0,4.481124878E-1,-7.973625064E-1,-4.109874964E-1
6.134350509E0,4.481124878E-1,-7.973625064E-1,-4.109874964E-1
6.154350509E0,4.481124878E-1,-7.973625064E-1,-4.109874964E-1
6.174350509E0,6.223250031E-1,-6.723749638E-2,-3.194124997E-1
6.194350509E0,6.223250031E-1,-6.723749638E-2,-3.194124997E-1
6.214350509E0,4.287250042E-1,-1.243000031E-1,-2.000624985E-1
6.234350509E0,4.287250042E-1,-1.243000031E-1,-2.000624985E-1
6.254350509E0,4.287250042E-1,-1.243000031E-1,-2.000624985E-1
6.274350509E0,4.287250042E-1,-1.243000031E-1,-2.000624985E-1
6.294350509E0,4.287250042E-1,-1.243000031E-1,-2.000624985E-1
6.314350509E0,2.677125037E-1,-6.062374711E-1,-5.028374791E-1
6.334350509E0,2.677125037E-1,-6.062374711E-1,-5.028374791E-1
6.354350509E0,2.677125037E-1,-6.062374711E-1,-5.028374791E-1
6.374350509E0,2.677125037E-1,-6.062374711E-1,-5.028374791E-1
6.394350509E0,2.677125037E-1,-6.062374711E-1,-5.028374791E-1
6.414350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.434350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.454350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.474350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.494350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.514350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.534350509E0,3.332999945E-1,-9.345874786E-1,-2.778874934E-1
6.554350509E0,2.475000024E-1,-1.803312540E0,1.512499992E-3
6.574350509E0,2.475000024E-1,-1.803312540E0,1.512499992E-3
6.594350509E0,2.475000024E-1,-1.803312540E0,1.512499992E-3
6.614350509E0,2.475000024E-1,-1.803312540E0,1.512499992E-3
6.634350509E0,2.475000024E-1,-1.803312540E0,1.512499992E-3
