Time (s),ax,ay,az,gx,gy,gz
6.69290067,1.803000093,-11.89995098,1.642050028,-2.13551259,1.592387438,-0.6381375194
6.71290067,1.803000093,-11.89995098,1.642050028,-2.13551259,1.592387438,-0.6381375194
6.73290067,1.803000093,-11.89995098,1.642050028,-2.13551259,1.592387438,-0.6381375194
6.75290067,-0.6660000086,-5.313000202,4.360949993,-2.188862562,6.448337555,0.7196750045
6.77290067,-0.6660000086,-5.313000202,4.360949993,-2.188862562,6.448337555,0.7196750045
6.79290067,-0.3790500164,-3.168000221,4.687050343,-0.8944374919,5.359612465,1.359187484
6.81290067,-0.3790500164,-3.168000221,4.687050343,-0.8944374919,5.359612465,1.359187484
6.83290067,-0.3790500164,-3.168000221,4.687050343,-0.8944374919,5.359612465,1.359187484
6.85290067,0.3480000198,-7.228050232,2.944050074,-0.8944374919,5.359612465,1.359187484
6.87290067,0.3480000198,-7.228050232,2.944050074,-0.8944374919,5.359612465,1.359187484
6.89290067,0.3480000198,-7.228050232,2.944050074,1.655637503,1.495312452,0.1317249984
6.91290067,0.3480000198,-7.228050232,2.944050074,1.655637503,1.495312452,0.1317249984
6.93290067,0.3480000198,-7.228050232,2.944050074,1.655637503,1.495312452,0.1317249984
6.95290067,0.3480000198,-7.228050232,2.944050074,1.655637503,1.495312452,0.1317249984
6.97290067,0.3480000198,-7.228050232,2.944050074,1.655637503,1.495312452,0.1317249984
6.99290067,0.4819500148,-9.56400013,-3.853050232,-0.06682500243,1.585787535,-1.427250028
7.01290067,0.4819500148,-9.56400013,-3.853050232,-0.06682500243,1.585787535,-1.427250028
7.03290067,-1.317000031,-8.2999506,0.9720000625,-1.646562457,4.031774998,-1.055037498
7.07290067,-1.317000031,-8.2999506,0.9720000625,-1.646562457,4.031774998,-1.055037498
7.09290067,0.06000000238,-7.515000343,1.929000139,-1.646562457,4.031774998,-1.055037498
7.11290067,0.06000000238,-7.515000343,1.929000139,-1.646562457,4.031774998,-1.055037498
7.13290067,-1.528050065,-14.98305035,1.009950042,-1.07249999,2.956662416,-0.2461249977
