"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.016107980E2,1.857487440E0,4.648462296E0,-3.024312496E0
1.016307980E2,1.668699980E0,4.754199982E0,-3.413162470E0
1.016507980E2,-3.643750027E-2,4.648737431E0,-4.583974838E0
1.016707980E2,-1.195974946E0,3.682800055E0,-5.653174877E0
1.016907980E2,-1.348875046E0,3.246512413E0,-5.675175190E0
1.017107980E2,-1.672412515E0,2.375999928E0,-5.104000092E0
1.017307980E2,-2.092474937E0,1.386137486E0,-3.748112440E0
1.017507980E2,-1.760687470E0,1.207800031E0,-3.247887373E0
1.017707980E2,1.132999957E-1,1.203537464E0,-1.545774937E0
1.017907980E2,1.604900002E0,1.148125052E0,2.024687529E0
1.018107980E2,1.618649960E0,1.003612518E0,2.568500042E0
1.018307980E2,3.579125106E-1,6.202625036E-1,2.730200052E0
1.018507980E2,-2.219250053E-1,2.433750033E-1,2.948412418E0
1.018707980E2,-3.011249900E-1,4.551250115E-2,3.009325027E0
1.018907980E2,2.535499930E-1,-3.177624941E-1,3.263562441E0
1.019107980E2,4.430249929E-1,-1.049537539E0,3.438600063E0
1.019307980E2,3.999874890E-1,-1.271737456E0,3.325712442E0
1.019507980E2,4.779500067E-1,-1.633774996E0,3.020874977E0
1.019707980E2,3.242250085E-1,-2.878837585E0,3.145587444E0
1.019907980E2,-5.528874993E-1,-3.977737427E0,3.468575001E0
1.020107980E2,-3.060887575E0,-4.965125084E0,3.393500090E0
1.020307980E2,-6.704912663E0,-4.201587677E0,3.554650068E0
1.020507980E2,-1.047433758E1,-6.022637367E0,7.117825031E0
1.020707980E2,-1.239645004E1,-1.344681263E1,1.158244991E1
1.020907980E2,-1.210783768E1,-1.385793781E1,8.214662552E0
1.021107980E2,-1.264463711E1,-1.366241264E1,5.092450142E0
1.021307980E2,1.131858730E1,6.552562237E0,-1.048602486E1
1.021507980E2,1.027840042E1,7.663700104E0,-8.722312927E0
1.021707980E2,9.355087280E0,7.400799751E0,-7.878200054E0
1.021907980E2,6.981287479E0,6.492337227E0,-5.894074917E0
1.022107980E2,6.066774845E0,6.479687691E0,-5.056287289E0
1.022307980E2,5.518974781E0,6.522174835E0,-4.757225037E0
1.022507980E2,1.895575047E0,5.159412384E0,-3.474349976E0
1.022707980E2,8.112499714E-1,4.697549820E0,-3.035724878E0
1.022907980E2,1.340624988E-1,4.350087643E0,-2.787537575E0
1.023107980E2,-1.284250021E-1,3.345925093E0,-2.255687475E0
1.023307980E2,-2.265999913E-1,3.151637554E0,-2.251012564E0
1.023507980E2,-3.900874853E-1,2.934387445E0,-2.398412466E0
1.023707980E2,-9.472374916E-1,3.272637367E0,-3.736837387E0
1.023907980E2,-1.415424943E0,3.274975061E0,-4.162262440E0
1.024107980E2,-2.511162519E0,2.984162569E0,-4.290275097E0
1.024307980E2,-1.863262534E0,2.352349997E0,-3.769150019E0
1.024507980E2,-1.468362451E0,2.161087513E0,-3.597687483E0
1.024707980E2,-7.981874943E-1,1.756425023E0,-2.834150076E0
1.024907980E2,3.026099920E0,1.629925013E0,-2.976875007E-1
1.025107980E2,3.698612452E0,1.584962487E0,6.223250031E-1
1.025307980E2,3.315812588E0,1.298825026E0,1.404150009E0
1.025507980E2,1.521849990E0,1.041562438E0,1.822975039E0
