"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.092900670E0,-2.313000202E0,1.031205082E1,-1.459050059E0
4.112900670E0,-2.313000202E0,1.031205082E1,-1.459050059E0
4.132900670E0,-2.313000202E0,1.031205082E1,-1.459050059E0
4.152900670E0,2.329500169E-1,4.816050053E0,6.754950523E0
4.172900670E0,2.329500169E-1,4.816050053E0,6.754950523E0
4.192900670E0,-5.899500251E-1,-3.360000134E0,6.850500107E-1
4.212900670E0,-5.899500251E-1,-3.360000134E0,6.850500107E-1
4.232900670E0,-5.899500251E-1,-3.360000134E0,6.850500107E-1
4.252900670E0,-5.899500251E-1,-3.360000134E0,6.850500107E-1
4.272900670E0,-5.899500251E-1,-3.360000134E0,6.850500107E-1
4.292900670E0,-1.223205090E1,-2.928795052E1,2.829000235E0
4.312900670E0,-1.223205090E1,-2.928795052E1,2.829000235E0
4.332900670E0,-1.223205090E1,-2.928795052E1,2.829000235E0
4.352900670E0,-1.223205090E1,-2.928795052E1,2.829000235E0
4.372900670E0,-1.223205090E1,-2.928795052E1,2.829000235E0
4.392900670E0,6.418050289E0,-1.318305016E1,7.864950180E0
4.412900670E0,6.418050289E0,-1.318305016E1,7.864950180E0
4.432900670E0,1.986105156E1,-6.790500283E-1,3.460950136E0
4.452900670E0,1.986105156E1,-6.790500283E-1,3.460950136E0
4.472900670E0,1.986105156E1,-6.790500283E-1,3.460950136E0
4.492900670E0,1.986105156E1,-6.790500283E-1,3.460950136E0
4.512900670E0,1.986105156E1,-6.790500283E-1,3.460950136E0
4.532900670E0,3.852000237E0,-1.090500069E1,2.619000196E0
4.552900670E0,3.852000237E0,-1.090500069E1,2.619000196E0
4.572900670E0,3.852000237E0,-1.090500069E1,2.619000196E0
4.592900670E0,3.852000237E0,-1.090500069E1,2.619000196E0
4.612900670E0,3.852000237E0,-1.090500069E1,2.619000196E0
4.632900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.652900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.672900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.692900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.712900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.732900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.752900670E0,-1.368795109E1,-3.263895035E1,1.135095024E1
4.772900670E0,-7.999500632E-1,2.116050005E0,3.270000219E0
4.792900670E0,-7.999500632E-1,2.116050005E0,3.270000219E0
4.812900670E0,2.052000046E0,1.273050070E0,-6.550500393E-1
4.832900670E0,2.052000046E0,1.273050070E0,-6.550500393E-1
4.852900670E0,2.052000046E0,1.273050070E0,-6.550500393E-1
4.872900670E0,-3.405000210E0,-5.926050186E0,1.411950111E0
4.892900670E0,-3.405000210E0,-5.926050186E0,1.411950111E0
4.912900670E0,-3.405000210E0,-5.926050186E0,1.411950111E0
4.932900670E0,-3.405000210E0,-5.926050186E0,1.411950111E0
4.952900670E0,-3.405000210E0,-5.926050186E0,1.411950111E0
4.972900670E0,-8.211000443E0,-2.693205070E1,5.950950146E0
4.992900670E0,-8.211000443E0,-2.693205070E1,5.950950146E0
5.012900670E0,6.246000290E0,-2.101500130E1,-3.816795349E1
5.032900670E0,6.246000290E0,-2.101500130E1,-3.816795349E1
5.052900670E0,6.246000290E0,-2.101500130E1,-3.816795349E1
5.072900670E0,6.246000290E0,-2.101500130E1,-3.816795349E1
5.092900670E0,6.246000290E0,-2.101500130E1,-3.816795349E1
5.112900670E0,1.130100060E1,1.636950135E0,-1.047795010E1
5.132900670E0,1.130100060E1,1.636950135E0,-1.047795010E1
5.152900670E0,1.110900021E1,2.287950039E0,-4.600050449E0
5.172900670E0,1.110900021E1,2.287950039E0,-4.600050449E0
5.192900670E0,1.110900021E1,2.287950039E0,-4.600050449E0
5.212900670E0,7.854000568E0,-7.707000256E0,1.105949998E0
5.232900670E0,7.854000568E0,-7.707000256E0,1.105949998E0
5.252900670E0,1.591950059E0,-3.907305145E1,6.027000427E0
5.272900670E0,1.591950059E0,-3.907305145E1,6.027000427E0
5.292900670E0,1.591950059E0,-3.907305145E1,6.027000427E0
5.312900670E0,1.591950059E0,-3.907305145E1,6.027000427E0
5.332900670E0,1.591950059E0,-3.907305145E1,6.027000427E0
5.352900670E0,-3.409500122E-1,-3.895950079E0,2.082000017E0
5.372900670E0,-3.409500122E-1,-3.895950079E0,2.082000017E0
5.392900670E0,-7.240500450E-1,1.407000065E0,4.264950275E0
5.412900670E0,-7.240500450E-1,1.407000065E0,4.264950275E0
5.432900670E0,-7.240500450E-1,1.407000065E0,4.264950275E0
5.452900670E0,3.258000135E0,2.001000166E0,2.370000124E0
5.472900670E0,3.258000135E0,2.001000166E0,2.370000124E0
5.492900670E0,7.690500617E-1,-1.962000132E0,-1.759500057E-1
5.512900670E0,7.690500617E-1,-1.962000132E0,-1.759500057E-1
5.532900670E0,7.690500617E-1,-1.962000132E0,-1.759500057E-1
5.552900670E0,7.690500617E-1,-1.962000132E0,-1.759500057E-1
5.572900670E0,7.690500617E-1,-1.962000132E0,-1.759500057E-1
5.592900670E0,-1.520100117E1,-3.625800323E1,6.601950169E0
5.612900670E0,-1.520100117E1,-3.625800323E1,6.601950169E0
5.632900670E0,-1.520100117E1,-3.625800323E1,6.601950169E0
5.652900670E0,-1.520100117E1,-3.625800323E1,6.601950169E0
5.672900670E0,-1.520100117E1,-3.625800323E1,6.601950169E0
5.692900670E0,1.687950134E0,-1.211100101E1,7.060950279E0
5.712900670E0,1.687950134E0,-1.211100101E1,7.060950279E0
5.732900670E0,6.322050095E0,1.599000096E0,7.501950264E0
5.752900670E0,6.322050095E0,1.599000096E0,7.501950264E0
5.772900670E0,6.322050095E0,1.599000096E0,7.501950264E0
5.792900670E0,1.093695068E1,5.563050270E0,-1.945905113E1
5.812900670E0,1.093695068E1,5.563050270E0,-1.945905113E1
5.832900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.852900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.872900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.892900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.912900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.932900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.952900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.972900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
5.992900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
6.012900670E0,1.135800076E1,-9.090000391E-1,-4.044000149E0
6.032900670E0,3.090000153E-1,-1.138050079E0,7.039500475E-1
6.052900670E0,3.090000153E-1,-1.138050079E0,7.039500475E-1
6.072900670E0,2.109000206E0,1.924050093E0,-1.497000098E0
6.092900670E0,2.109000206E0,1.924050093E0,-1.497000098E0
6.112900670E0,2.109000206E0,1.924050093E0,-1.497000098E0
6.132900670E0,2.109000206E0,1.924050093E0,-1.497000098E0
6.152900670E0,2.109000206E0,1.924050093E0,-1.497000098E0
6.172900670E0,1.611000061E0,-2.824050188E0,1.240050077E0
6.192900670E0,1.611000061E0,-2.824050188E0,1.240050077E0
6.212900670E0,-2.270700073E1,-3.384495163E1,-3.853050232E0
6.232900670E0,-2.270700073E1,-3.384495163E1,-3.853050232E0
6.252900670E0,-2.270700073E1,-3.384495163E1,-3.853050232E0
6.272900670E0,-1.075800037E1,-2.846400070E1,2.848050117E0
6.292900670E0,-1.075800037E1,-2.846400070E1,2.848050117E0
6.312900670E0,-3.826050282E0,-2.881050110E0,-9.061050415E0
6.332900670E0,-3.826050282E0,-2.881050110E0,-9.061050415E0
6.352900670E0,-3.826050282E0,-2.881050110E0,-9.061050415E0
6.372900670E0,-3.826050282E0,-2.881050110E0,-9.061050415E0
6.392900670E0,-3.826050282E0,-2.881050110E0,-9.061050415E0
6.412900670E0,1.744950056E0,-8.548950195E0,1.068000078E0
6.432900670E0,1.744950056E0,-8.548950195E0,1.068000078E0
6.452900670E0,6.418050289E0,-7.707000256E0,3.231000185E0
6.472900670E0,6.418050289E0,-7.707000256E0,3.231000185E0
6.492900670E0,6.418050289E0,-7.707000256E0,3.231000185E0
6.512900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.532900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.552900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.572900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.592900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.612900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.632900670E0,1.059195042E1,-7.285050392E0,4.131000042E0
6.652900670E0,1.803000093E0,-1.189995098E1,1.642050028E0
6.672900670E0,1.803000093E0,-1.189995098E1,1.642050028E0
6.692900670E0,1.803000093E0,-1.189995098E1,1.642050028E0
6.712900670E0,1.803000093E0,-1.189995098E1,1.642050028E0
6.732900670E0,1.803000093E0,-1.189995098E1,1.642050028E0
6.752900670E0,-6.660000086E-1,-5.313000202E0,4.360949993E0
6.772900670E0,-6.660000086E-1,-5.313000202E0,4.360949993E0
6.792900670E0,-3.790500164E-1,-3.168000221E0,4.687050343E0
6.812900670E0,-3.790500164E-1,-3.168000221E0,4.687050343E0
6.832900670E0,-3.790500164E-1,-3.168000221E0,4.687050343E0
6.852900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.872900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.892900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.912900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.932900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.952900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.972900670E0,3.480000198E-1,-7.228050232E0,2.944050074E0
6.992900670E0,4.819500148E-1,-9.564000130E0,-3.853050232E0
