"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.749145012E1,1.828750037E-2,-6.104999781E-2,2.172499895E-2
6.751145012E1,1.828750037E-2,-6.104999781E-2,2.172499895E-2
6.753145012E1,1.828750037E-2,-6.104999781E-2,2.172499895E-2
6.755145012E1,2.777500078E-2,-6.421250105E-2,1.567500085E-2
6.757145012E1,2.777500078E-2,-6.421250105E-2,1.567500085E-2
6.759145012E1,1.443750039E-2,-3.657500073E-2,1.512499992E-2
6.761145012E1,1.443750039E-2,-3.657500073E-2,1.512499992E-2
6.763145012E1,4.949999973E-3,1.031249948E-2,1.031249948E-2
6.765145012E1,4.949999973E-3,1.031249948E-2,1.031249948E-2
6.767145012E1,4.949999973E-3,1.031249948E-2,1.031249948E-2
6.769145012E1,8.799999952E-3,4.908749834E-2,-1.374999993E-4
6.771145012E1,8.799999952E-3,4.908749834E-2,-1.374999993E-4
6.773145012E1,8.799999952E-3,4.908749834E-2,-1.374999993E-4
6.775145012E1,8.799999952E-3,4.908749834E-2,-1.374999993E-4
6.777145012E1,8.799999952E-3,4.908749834E-2,-1.374999993E-4
6.779145012E1,-2.749999985E-3,7.851249725E-2,-1.003750041E-2
6.781145012E1,-2.749999985E-3,7.851249725E-2,-1.003750041E-2
6.783145012E1,9.487500414E-3,5.981250107E-2,-8.249999955E-3
6.785145012E1,9.487500414E-3,5.981250107E-2,-8.249999955E-3
6.787145012E1,9.487500414E-3,5.981250107E-2,-8.249999955E-3
6.789145012E1,1.787500083E-2,9.762499481E-3,-6.187499966E-3
6.791145012E1,1.787500083E-2,9.762499481E-3,-6.187499966E-3
6.793145012E1,1.484999992E-2,3.299999982E-3,-2.749999985E-3
6.795145012E1,1.484999992E-2,3.299999982E-3,-2.749999985E-3
6.797145012E1,9.487500414E-3,1.099999994E-3,5.362499971E-3
6.799145012E1,9.487500414E-3,1.099999994E-3,5.362499971E-3
6.801145012E1,9.487500414E-3,1.099999994E-3,5.362499971E-3
6.803145012E1,3.299999982E-3,-1.773750037E-2,2.749999985E-3
6.805145012E1,3.299999982E-3,-1.773750037E-2,2.749999985E-3
6.807145012E1,-5.087499972E-3,-9.624999948E-3,1.374999993E-3
6.809145012E1,-5.087499972E-3,-9.624999948E-3,1.374999993E-3
6.811145012E1,-5.087499972E-3,-9.624999948E-3,1.374999993E-3
6.813145012E1,-1.196249947E-2,3.272499889E-2,5.912499968E-3
6.815145012E1,-1.196249947E-2,3.272499889E-2,5.912499968E-3
6.817145012E1,-7.699999958E-3,1.154999994E-2,-9.624999948E-4
6.819145012E1,-7.699999958E-3,1.154999994E-2,-9.624999948E-4
6.821145012E1,-9.349999949E-3,-2.887500077E-2,-1.457499992E-2
6.823145012E1,-9.349999949E-3,-2.887500077E-2,-1.457499992E-2
6.825145012E1,-9.349999949E-3,-2.887500077E-2,-1.457499992E-2
6.827145012E1,-5.362499971E-3,-4.138749838E-2,-6.187499966E-3
6.829145012E1,-5.362499971E-3,-4.138749838E-2,-6.187499966E-3
6.831145012E1,-4.674999975E-3,-2.639999986E-2,-4.812499974E-3
6.833145012E1,-4.674999975E-3,-2.639999986E-2,-4.812499974E-3
6.835145012E1,-9.487500414E-3,-1.828750037E-2,-1.567500085E-2
6.837145012E1,-9.487500414E-3,-1.828750037E-2,-1.567500085E-2
6.839145012E1,-9.487500414E-3,-1.828750037E-2,-1.567500085E-2
6.841145012E1,-6.187499966E-3,-7.837500423E-3,-8.249999955E-3
6.843145012E1,-6.187499966E-3,-7.837500423E-3,-8.249999955E-3
6.845145012E1,-6.187499966E-3,-7.837500423E-3,-8.249999955E-3
6.847145012E1,2.749999985E-3,-1.099999994E-2,-3.712499980E-3
6.849145012E1,2.749999985E-3,-1.099999994E-2,-3.712499980E-3
6.851145012E1,7.287499961E-3,-4.743750021E-2,-4.674999975E-3
