"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.911450124E0,2.358000040E0,-9.430050850E0,9.340500236E-1
6.931450124E0,2.454000235E0,-9.601950645E0,5.119500160E-1
6.951450124E0,2.281949997E0,-9.544950485E0,3.210000098E-1
6.971450124E0,2.281949997E0,-9.544950485E0,3.210000098E-1
6.991450124E0,2.071050167E0,-9.564000130E0,1.099500060E-1
7.011450124E0,2.071050167E0,-9.564000130E0,1.099500060E-1
7.031450124E0,2.071050167E0,-9.564000130E0,1.099500060E-1
7.051450124E0,2.109000206E0,-9.430050850E0,6.649500132E-1
7.071450124E0,2.109000206E0,-9.430050850E0,6.649500132E-1
7.091450124E0,2.185950041E0,-9.487950325E0,9.910500646E-1
7.111450124E0,2.185950041E0,-9.487950325E0,9.910500646E-1
7.131450124E0,2.205000162E0,-9.640950203E0,9.720000625E-1
7.151450124E0,2.205000162E0,-9.640950203E0,9.720000625E-1
7.171450124E0,2.205000162E0,-9.640950203E0,9.720000625E-1
7.191450124E0,2.014050007E0,-9.564000130E0,5.890500546E-1
7.211450124E0,2.014050007E0,-9.564000130E0,5.890500546E-1
7.231450124E0,1.822050095E0,-9.717000008E0,5.509500504E-1
7.251450124E0,1.822050095E0,-9.717000008E0,5.509500504E-1
7.271450124E0,1.822050095E0,-9.334050179E0,6.649500132E-1
7.291450124E0,1.956000090E0,-9.258000374E0,7.420500517E-1
7.311450124E0,1.956000090E0,-9.258000374E0,7.420500517E-1
7.331450124E0,1.956000090E0,-9.258000374E0,7.420500517E-1
7.351450124E0,1.956000090E0,-9.258000374E0,7.420500517E-1
7.371450124E0,1.458000064E0,-9.199950218E0,9.529500604E-1
7.391450124E0,1.458000064E0,-9.199950218E0,9.529500604E-1
7.411450124E0,1.458000064E0,-9.199950218E0,9.529500604E-1
7.431450124E0,2.109000206E0,-9.583050728E0,8.190000653E-1
7.451450124E0,2.109000206E0,-9.583050728E0,8.190000653E-1
7.471450124E0,1.860000134E0,-9.679050446E0,4.930500090E-1
7.491450124E0,1.860000134E0,-9.679050446E0,4.930500090E-1
7.511450124E0,1.860000134E0,-9.679050446E0,4.930500090E-1
7.531450124E0,1.956000090E0,-9.583050728E0,7.200000435E-2
7.551450124E0,1.956000090E0,-9.583050728E0,7.200000435E-2
7.571450124E0,2.320050001E0,-9.601950645E0,5.509500504E-1
7.591450124E0,2.320050001E0,-9.601950645E0,5.509500504E-1
7.611450124E0,2.434950113E0,-9.660000801E0,6.850500107E-1
7.631450124E0,2.434950113E0,-9.660000801E0,6.850500107E-1
7.651450124E0,2.434950113E0,-9.660000801E0,6.850500107E-1
7.651450124E0,2.434950113E0,-9.334050179E0,1.048050046E0
7.691450124E0,2.434950113E0,-9.334050179E0,1.048050046E0
7.711450124E0,1.899000049E0,-9.640950203E0,8.950500488E-1
7.731450124E0,1.899000049E0,-9.640950203E0,8.950500488E-1
7.751450124E0,1.899000049E0,-9.640950203E0,8.950500488E-1
7.771450124E0,1.669050097E0,-9.601950645E0,5.700000525E-1
7.791450124E0,1.669050097E0,-9.601950645E0,5.700000525E-1
7.811450124E0,1.975050092E0,-9.601950645E0,4.549500346E-1
7.831450124E0,1.975050092E0,-9.601950645E0,4.549500346E-1
7.851450124E0,1.975050092E0,-9.601950645E0,4.549500346E-1
7.871450124E0,1.975050092E0,-9.601950645E0,4.549500346E-1
7.891450124E0,1.975050092E0,-9.601950645E0,4.549500346E-1
7.911450124E0,2.128050089E0,-9.564000130E0,6.460500360E-1
7.931450124E0,2.128050089E0,-9.564000130E0,6.460500360E-1
7.951450124E0,2.185950041E0,-9.487950325E0,8.760000467E-1
7.971450124E0,2.185950041E0,-9.487950325E0,8.760000467E-1
7.991450124E0,2.281949997E0,-9.373050690E0,9.529500604E-1
8.011450124E0,2.205000162E0,-9.352950096E0,9.340500236E-1
8.031450124E0,2.205000162E0,-9.352950096E0,9.340500236E-1
8.051450124E0,1.899000049E0,-9.850950241E0,4.549500346E-1
8.071450124E0,1.899000049E0,-9.850950241E0,4.549500346E-1
8.091450124E0,1.899000049E0,-9.850950241E0,4.549500346E-1
8.111450124E0,1.554000020E0,-9.640950203E0,3.780000210E-1
8.131450124E0,1.554000020E0,-9.640950203E0,3.780000210E-1
8.151450124E0,1.860000134E0,-9.544950485E0,7.800000310E-1
8.171450124E0,1.860000134E0,-9.544950485E0,7.800000310E-1
8.191450124E0,1.956000090E0,-9.468000412E0,1.009950042E0
8.211450124E0,1.956000090E0,-9.468000412E0,1.009950042E0
8.231450124E0,1.956000090E0,-9.468000412E0,1.009950042E0
8.251450124E0,2.052000046E0,-9.601950645E0,7.230000496E-1
8.271450124E0,2.052000046E0,-9.601950645E0,7.230000496E-1
8.291450124E0,2.052000046E0,-9.601950645E0,7.230000496E-1
8.311450124E0,2.052000046E0,-9.601950645E0,7.230000496E-1
8.331450124E0,2.205000162E0,-9.526050568E0,5.119500160E-1
8.351450124E0,2.185950041E0,-9.544950485E0,5.890500546E-1
8.371450124E0,2.185950041E0,-9.544950485E0,5.890500546E-1
8.391450124E0,2.205000162E0,-9.544950485E0,7.420500517E-1
8.411450124E0,2.205000162E0,-9.544950485E0,7.420500517E-1
8.431450124E0,2.205000162E0,-9.544950485E0,7.420500517E-1
8.451450124E0,2.205000162E0,-9.544950485E0,7.420500517E-1
8.471450124E0,2.205000162E0,-9.544950485E0,7.420500517E-1
8.491450124E0,2.281949997E0,-9.564000130E0,4.930500090E-1
8.511450124E0,2.281949997E0,-9.564000130E0,4.930500090E-1
8.531450124E0,2.205000162E0,-9.583050728E0,5.310000181E-1
8.551450124E0,2.205000162E0,-9.583050728E0,5.310000181E-1
8.571450124E0,2.205000162E0,-9.583050728E0,5.310000181E-1
8.591450124E0,2.071050167E0,-9.583050728E0,6.649500132E-1
8.611450124E0,2.071050167E0,-9.583050728E0,6.649500132E-1
8.631450124E0,2.052000046E0,-9.601950645E0,6.850500107E-1
8.651450124E0,2.052000046E0,-9.601950645E0,6.850500107E-1
8.671450124E0,2.032950163E0,-9.507000923E0,6.649500132E-1
8.691450124E0,2.032950163E0,-9.507000923E0,6.649500132E-1
8.711450124E0,2.032950163E0,-9.507000923E0,6.649500132E-1
8.731450124E0,2.071050167E0,-9.564000130E0,5.890500546E-1
8.751450124E0,2.071050167E0,-9.564000130E0,5.890500546E-1
8.771450124E0,2.109000206E0,-9.544950485E0,5.700000525E-1
8.791450124E0,2.109000206E0,-9.544950485E0,5.700000525E-1
8.811450124E0,2.109000206E0,-9.544950485E0,5.700000525E-1
8.831450124E0,2.167050123E0,-9.487950325E0,5.700000525E-1
8.851450124E0,2.167050123E0,-9.487950325E0,5.700000525E-1
8.871450124E0,2.224050045E0,-9.601950645E0,6.079500318E-1
8.891450124E0,2.224050045E0,-9.601950645E0,6.079500318E-1
