"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.493037864E0,-1.132037520E0,-8.145499825E-1,-3.536500037E-1
3.513037864E0,-1.197899938E0,-9.294999838E-1,-3.665750027E-1
3.533037864E0,-1.281912446E0,-1.077175021E0,-4.151124954E-1
3.553037864E0,-1.341724992E0,-1.127087474E0,-4.894999862E-1
3.573037864E0,-1.367712498E0,-1.136437535E0,-5.373499990E-1
3.593037864E0,-1.446362495E0,-1.180575013E0,-6.648125052E-1
3.613037864E0,-1.530787468E0,-1.161599994E0,-8.637750149E-1
3.633037864E0,-1.547287464E0,-1.100962520E0,-9.685499668E-1
3.653037864E0,-1.524875045E0,-8.260999918E-1,-1.191162467E0
3.673037864E0,-1.423949957E0,-3.056625128E-1,-1.395349979E0
3.693037864E0,-1.376099944E0,-1.215500012E-1,-1.410887480E0
3.713037864E0,-1.292225003E0,2.205500007E-1,-1.410887480E0
3.733037864E0,-1.328799963E0,4.130499959E-1,-1.431924939E0
3.753037864E0,-1.364412546E0,4.311999977E-1,-1.450212479E0
3.773037864E0,-1.367849946E0,4.991250038E-1,-1.389850020E0
3.793037864E0,-1.316974998E0,4.675000012E-1,-1.213299990E0
3.813037864E0,-1.287687540E0,4.479750097E-1,-1.147712469E0
3.833037864E0,-1.190199971E0,4.662624896E-1,-9.710249901E-1
3.853037864E0,-1.039087534E0,4.556750059E-1,-6.887375116E-1
3.873037864E0,-1.007462502E0,4.274874926E-1,-6.263124943E-1
3.893037864E0,-9.998999834E-1,3.291749954E-1,-5.909749866E-1
3.913037864E0,-1.063837528E0,1.815000027E-1,-6.777374744E-1
3.933037864E0,-1.086662531E0,1.128875017E-1,-7.247624993E-1
3.953037864E0,-1.111412525E0,-7.149999961E-3,-7.888374925E-1
3.973037864E0,-1.070850015E0,-7.287499961E-3,-7.170624733E-1
3.993037864E0,-1.055724978E0,4.619999975E-2,-6.883249879E-1
4.013037864E0,-1.063699961E0,8.607500046E-2,-7.030375004E-1
4.033037864E0,-1.145375013E0,1.216875017E-1,-9.565874934E-1
4.053037864E0,-1.176587462E0,1.766874939E-1,-1.055587530E0
4.073037864E0,-1.223062515E0,2.160124928E-1,-1.229524970E0
4.093037864E0,-1.193637490E0,1.992374957E-1,-1.278612494E0
4.113037864E0,-1.127362490E0,1.314499974E-1,-1.235712528E0
4.133037864E0,-1.085012436E0,6.036249921E-2,-1.235025048E0
4.153037864E0,-9.147874713E-1,-2.997500002E-1,-1.281774998E0
4.173037864E0,-8.498874903E-1,-4.024625123E-1,-1.274212480E0
4.193037864E0,-7.077124715E-1,-5.685625076E-1,-1.231037498E0
4.213037864E0,-5.457375050E-1,-6.810374856E-1,-1.177549958E0
4.233037864E0,-5.234624743E-1,-6.313999891E-1,-1.132862449E0
4.253037864E0,-4.813874960E-1,-5.396875143E-1,-1.048987508E0
4.273037864E0,-3.436124921E-1,-5.966125131E-1,-9.215250015E-1
4.293037864E0,-2.806375027E-1,-6.883249879E-1,-9.079124928E-1
4.313037864E0,-1.724250019E-1,-9.413250089E-1,-9.822999835E-1
4.333037864E0,-1.293874979E-1,-1.219900012E0,-1.250837445E0
4.353037864E0,-1.212750003E-1,-1.182500005E0,-1.194599986E0
4.373037864E0,-1.343374997E-1,-9.138249755E-1,-8.509874940E-1
4.393037864E0,-1.234750003E-1,-8.280249834E-1,-7.111499906E-1
4.413037864E0,-9.886249900E-2,-7.567999959E-1,-5.665000081E-1
4.433037864E0,-1.222374961E-1,-9.046124816E-1,-8.120750189E-1
4.453037864E0,-1.561999917E-1,-1.010625005E0,-1.027675033E0
4.473037864E0,-1.806750000E-1,-1.216737509E0,-1.409374952E0
4.493037864E0,-1.548250020E-1,-1.150737524E0,-1.378712535E0
4.513037864E0,-1.427250057E-1,-1.070162535E0,-1.281087518E0
4.533037864E0,-1.051874980E-1,-8.762875199E-1,-1.027537465E0
4.553037864E0,-1.443750039E-2,-4.952749908E-1,-4.732750058E-1
4.573037864E0,5.362499878E-2,-2.802250087E-1,-1.251250058E-1
4.593037864E0,1.254000068E-1,3.231250122E-2,2.398000062E-1
4.613037864E0,1.247124970E-1,3.081375062E-1,3.760625124E-1
4.633037864E0,9.899999946E-2,4.071374834E-1,4.147000015E-1
4.653037864E0,3.767500073E-2,7.636749744E-1,6.811749935E-1
4.673037864E0,2.268750034E-2,1.372249961E0,1.282874942E0
4.693037864E0,8.249999955E-3,1.502187490E0,1.385312438E0
4.713037864E0,-3.836249933E-2,1.720537543E0,1.531062484E0
4.733037864E0,-1.215500012E-1,1.808125019E0,1.463687539E0
4.753037864E0,-1.413500011E-1,1.806612492E0,1.404012442E0
4.773037864E0,-1.762750000E-1,1.794924974E0,1.264037490E0
4.793037864E0,-1.841125041E-1,1.641749978E0,1.004712462E0
4.813037864E0,-1.782000065E-1,1.569562435E0,9.233124852E-1
4.833037864E0,-1.639000028E-1,1.418037534E0,7.834749818E-1
4.853037864E0,-1.225124970E-1,1.146474957E0,5.970249772E-1
4.873037864E0,-9.982500225E-2,1.043762445E0,5.443624854E-1
4.893037864E0,-4.358749837E-2,8.178499937E-1,4.538874924E-1
4.913037864E0,3.643750027E-2,5.126000047E-1,3.088249862E-1
4.933037864E0,7.328750193E-2,3.643749952E-1,2.279749960E-1
4.953037864E0,1.273249984E-1,1.449249983E-1,8.717499673E-2
4.973037864E0,1.880999953E-1,-1.017499994E-2,-7.328750193E-2
4.993037864E0,2.011625022E-1,-5.926249921E-2,-1.115124971E-1
5.013037864E0,2.029500008E-1,-1.358499974E-1,-1.559250057E-1
5.033037864E0,1.845249981E-1,-2.028124928E-1,-1.699499935E-1
5.053037864E0,1.771000028E-1,-2.220624983E-1,-1.691250056E-1
5.073037864E0,1.626625061E-1,-2.546499968E-1,-1.687124968E-1
5.093037864E0,1.270499974E-1,-2.371875048E-1,-1.535875052E-1
5.113037864E0,1.148125008E-1,-2.256374955E-1,-1.592250019E-1
5.133037864E0,9.707500041E-2,-1.960749924E-1,-1.674750000E-1
5.153037864E0,7.218749821E-2,-1.544124931E-1,-1.280124933E-1
5.173037864E0,6.036249921E-2,-1.420374960E-1,-1.149500012E-1
5.193037864E0,3.423750028E-2,-1.185249984E-1,-1.014750004E-1
5.213037864E0,-1.512499992E-3,-9.281250089E-2,-5.266249925E-2
5.233037864E0,-9.899999946E-3,-8.703749627E-2,-3.203750029E-2
5.253037864E0,-1.416249946E-2,-7.603749633E-2,-1.333750039E-2
5.273037864E0,-1.388750039E-2,-5.596249923E-2,-5.912499968E-3
5.293037864E0,-1.471249945E-2,-4.688749835E-2,-2.199999988E-3
5.313037864E0,-1.636249945E-2,-3.272499889E-2,2.199999988E-3
5.333037864E0,-2.419999987E-2,9.762499481E-3,2.103750035E-2
5.353037864E0,-2.557500079E-2,2.268750034E-2,2.612499893E-2
5.373037864E0,-2.268750034E-2,2.804999985E-2,2.241249941E-2
5.393037864E0,-1.443750039E-2,1.979999989E-2,-4.537499975E-3
5.413037864E0,-1.292499993E-2,1.732499897E-2,-1.251249947E-2
5.433037864E0,-1.374999993E-3,-4.124999978E-3,-4.317500070E-2
5.453037864E0,5.362499971E-3,-1.196249947E-2,-6.352499872E-2
5.473037864E0,8.799999952E-3,-2.282499894E-2,-7.081250101E-2
5.493037864E0,1.457499992E-2,-4.331250116E-2,-7.466249913E-2
5.513037864E0,1.498750038E-2,-4.606249928E-2,-7.232499868E-2
5.533037864E0,1.003750041E-2,-4.138749838E-2,-5.596249923E-2
5.553037864E0,-3.574999981E-3,-3.341250122E-2,-2.694999985E-2
5.573037864E0,-1.732499897E-2,-2.323750034E-2,1.099999994E-3
5.593037864E0,-3.135000169E-2,-1.787499990E-3,2.873750031E-2
5.613037864E0,-4.702499881E-2,5.843750015E-2,9.473749995E-2
5.633037864E0,-4.963750020E-2,7.672499865E-2,1.153625026E-1
5.653037864E0,-4.619999975E-2,9.171249717E-2,1.465750039E-1
5.673037864E0,-3.478749841E-2,9.844999760E-2,1.363999993E-1
5.693037864E0,-3.341250122E-2,9.872499853E-2,1.230624989E-1
5.713037864E0,-3.409999982E-2,9.886249900E-2,1.028499976E-1
5.733037864E0,-4.331250116E-2,1.093124971E-1,9.886249900E-2
5.753037864E0,-4.427500069E-2,1.099999994E-1,9.253749996E-2
5.773037864E0,-3.849999979E-2,1.020250022E-1,6.792499870E-2
5.793037864E0,-2.227500081E-2,8.318749815E-2,3.066249937E-2
5.813037864E0,-1.581249945E-2,7.796250284E-2,2.062499896E-2
5.833037864E0,4.674999975E-3,5.926249921E-2,-3.574999981E-3
5.853037864E0,2.791249938E-2,2.268750034E-2,-4.633750021E-2
5.873037864E0,2.612499893E-2,1.732499897E-2,-5.183750018E-2
5.893037864E0,1.801249944E-2,2.887499984E-3,-7.039999962E-2
5.913037864E0,7.149999961E-3,-1.292499993E-2,-9.226249903E-2
5.933037864E0,8.387500420E-3,-1.512499992E-2,-8.566249907E-2
5.953037864E0,1.484999992E-2,-1.306249946E-2,-7.287500054E-2
5.973037864E0,2.172499895E-2,-6.599999964E-3,-4.798749834E-2
5.993037864E0,3.148749843E-2,-4.812499974E-3,-3.629999980E-2
6.013037864E0,5.403750017E-2,2.337499987E-3,-2.901249938E-2
6.033037864E0,5.761250108E-2,3.726249933E-2,-3.121249937E-2
6.053037864E0,5.761250108E-2,3.726249933E-2,-3.121249937E-2
6.073037864E0,3.712499887E-2,7.315000147E-2,-6.737499963E-3
6.093037864E0,3.093750030E-2,7.864999771E-2,5.499999970E-3
6.113037864E0,2.034999989E-2,7.782500237E-2,3.684999794E-2
6.133037864E0,1.622499898E-2,5.733750015E-2,6.503749639E-2
6.153037864E0,1.801249944E-2,4.675000161E-2,6.489999592E-2
