"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.093037864E0,9.030000567E-1,-9.315000534E0,-3.124950171E0
3.113037864E0,2.224050045E0,-8.797950745E0,-3.316950083E0
3.133037864E0,2.262000084E0,-8.050950050E0,-4.830000103E-1
3.153037864E0,1.744950056E0,-8.281050682E0,-4.810050011E0
3.173037864E0,-1.110000089E-1,-9.219000816E0,-4.426949978E0
3.193037864E0,6.919500232E-1,-1.000500011E1,-3.853050232E0
3.213037864E0,3.201000214E0,-9.526050568E0,-2.626950026E0
3.233037864E0,3.354000092E0,-9.277050018E0,-3.183000088E0
3.253037864E0,2.779950142E0,-9.352950096E0,-2.838000059E0
3.273037864E0,2.052000046E0,-9.507000923E0,-3.928950071E0
3.293037864E0,2.952000141E0,-9.085050583E0,-4.426949978E0
3.313037864E0,2.703000069E0,-8.491950035E0,-4.293000221E0
3.333037864E0,2.089950085E0,-7.552950382E0,-3.853050232E0
3.353037864E0,2.989950180E0,-6.538950443E0,-3.949050188E0
3.373037864E0,2.014050007E0,-6.883050442E0,-4.389000416E0
3.393037864E0,1.899000049E0,-7.150950432E0,-4.446000099E0
3.413037864E0,1.055999994E0,-6.424050331E0,-4.944000244E0
3.433037864E0,6.540000439E-1,-5.581050396E0,-4.924950123E0
3.453037864E0,4.620000124E-1,-5.964000225E0,-6.073950291E0
3.473037864E0,8.839500546E-1,-6.595950127E0,-6.802050114E0
3.493037864E0,1.477050066E0,-6.997950554E0,-6.361050129E0
3.513037864E0,1.420050025E0,-6.385050297E0,-6.400050163E0
3.533037864E0,2.089950085E0,-5.848950386E0,-6.591000080E0
3.553037864E0,2.491950035E0,-5.715000153E0,-6.667950153E0
3.573037864E0,2.722050190E0,-5.083050251E0,-7.644000530E0
3.593037864E0,3.622050285E0,-4.279050350E0,-7.873950481E0
3.613037864E0,4.503000259E0,-4.087049961E0,-7.683000565E0
3.633037864E0,5.344950199E0,-4.356000423E0,-7.012050152E0
3.653037864E0,5.403000355E0,-4.470000267E0,-7.261050224E0
3.673037864E0,5.422050476E0,-4.317000389E0,-7.549050331E0
3.693037864E0,5.250000477E0,-3.915000200E0,-7.434000492E0
3.713037864E0,5.116050243E0,-3.360000134E0,-8.218950272E0
3.733037864E0,5.230950356E0,-3.493950129E0,-8.773950577E0
3.753037864E0,5.614050388E0,-3.952950239E0,-9.138000488E0
3.773037864E0,5.250000477E0,-4.183050156E0,-9.751049995E0
3.793037864E0,5.326050282E0,-4.107000351E0,-9.751049995E0
3.813037864E0,4.465050220E0,-3.762000084E0,-8.314949989E0
3.833037864E0,4.273050308E0,-3.244950056E0,-7.318950176E0
3.853037864E0,4.483950138E0,-2.689950228E0,-7.204050541E0
3.873037864E0,4.311000347E0,-1.750950098E0,-7.606050491E0
3.893037864E0,4.579950333E0,-8.899500370E-1,-8.334000587E0
3.913037864E0,5.479950428E0,9.000000544E-3,-9.175950050E0
3.933037864E0,6.877050400E0,-1.240500063E-1,-9.540000916E0
3.953037864E0,7.891950607E0,-6.979500055E-1,-9.234000206E0
3.973037864E0,5.977050304E0,-1.387050033E0,-8.659049988E0
3.993037864E0,4.426050186E0,-7.939500213E-1,-9.291000366E0
4.013037864E0,4.981950283E0,3.730500042E-1,-8.026950836E0
4.033037864E0,5.383950233E0,1.540950060E0,-6.820950508E0
4.053037864E0,5.058000088E0,1.426050067E0,-6.093000412E0
4.073037864E0,3.679950237E0,1.063050032E0,-6.400050163E0
4.093037864E0,3.544950247E0,5.839500427E-1,-7.338000298E0
4.113037864E0,2.167050123E0,1.330950022E0,-8.869950294E0
4.133037864E0,2.224050045E0,2.154000044E0,-1.101495075E1
4.153037864E0,3.430950165E0,2.173050165E0,-1.155105019E1
4.173037864E0,4.732950211E0,1.330950022E0,-1.038300037E1
4.193037864E0,5.173050404E0,4.879500270E-1,-8.926950455E0
4.213037864E0,5.191950321E0,6.705000252E-2,-8.046000481E0
4.233037864E0,4.042950153E0,4.120500088E-1,-7.606050491E0
4.253037864E0,3.028050184E0,9.289500713E-1,-7.969950199E0
4.273037864E0,1.840950131E0,1.044000030E0,-8.677950859E0
4.293037864E0,5.580000281E-1,2.001000166E0,-8.946000099E0
4.313037864E0,1.939500123E-1,2.805000067E0,-9.673950195E0
4.333037864E0,9.990000725E-1,2.632950068E0,-9.175950050E0
4.353037864E0,2.722050190E0,1.044000030E0,-9.022950172E0
4.373037864E0,2.185950041E0,7.369500399E-1,-9.100049973E0
4.393037864E0,1.305000067E0,1.924050093E0,-9.616950035E0
4.413037864E0,9.600000381E-1,2.728950024E0,-1.015305042E1
4.433037864E0,3.859500289E-1,2.785950184E0,-1.013400078E1
4.453037864E0,2.520000041E-1,2.154000044E0,-9.540000916E0
4.473037864E0,3.859500289E-1,1.446000099E0,-9.100049973E0
4.493037864E0,2.089950085E0,9.289500713E-1,-8.697000504E0
4.513037864E0,1.975050092E0,6.799500585E-1,-8.851050377E0
4.533037864E0,2.665050030E0,7.750500441E-1,-8.716950417E0
4.553037864E0,3.603000164E0,7.560000420E-1,-8.085000038E0
4.573037864E0,3.832950115E0,7.560000420E-1,-7.855050564E0
4.593037864E0,3.967050076E0,8.520000577E-1,-8.275950432E0
4.613037864E0,4.867050171E0,9.859500527E-1,-8.773950577E0
4.633037864E0,7.030950546E0,1.254000068E0,-8.793000221E0
4.653037864E0,7.854000568E0,1.234950066E0,-8.295000076E0
4.673037864E0,7.050000191E0,6.220500469E-1,-8.008049965E0
4.693037864E0,6.648000240E0,3.160500228E-1,-7.644000530E0
4.713037864E0,6.456000328E0,3.160500228E-1,-7.434000492E0
4.733037864E0,6.571050167E0,4.879500270E-1,-7.434000492E0
4.753037864E0,6.532950401E0,7.750500441E-1,-7.702050209E0
4.773037864E0,6.322050095E0,9.859500527E-1,-7.873950481E0
4.793037864E0,6.150000095E0,9.670500755E-1,-7.969950199E0
4.813037864E0,6.054000378E0,6.409500241E-1,-8.026950836E0
4.833037864E0,5.728050232E0,4.120500088E-1,-8.142000198E0
4.853037864E0,5.307000160E0,5.460000038E-1,-8.142000198E0
4.873037864E0,5.344950199E0,8.329500556E-1,-8.218950272E0
4.893037864E0,5.287950039E0,7.950000167E-1,-8.122950554E0
4.913037864E0,5.365050316E0,5.460000038E-1,-7.989000320E0
4.933037864E0,5.556000233E0,3.730500042E-1,-8.295000076E0
4.953037864E0,5.479950428E0,4.879500270E-1,-8.218950272E0
4.973037864E0,5.575050354E0,7.180500627E-1,-7.969950199E0
4.993037864E0,5.499000072E0,7.950000167E-1,-7.951050282E0
5.013037864E0,5.479950428E0,7.950000167E-1,-8.237999916E0
5.033037864E0,5.326050282E0,6.990000606E-1,-8.391000748E0
5.053037864E0,5.134950161E0,6.610500216E-1,-8.334000587E0
5.073037864E0,5.116050243E0,7.750500441E-1,-8.237999916E0
5.093037864E0,5.038950443E0,8.520000577E-1,-8.257050514E0
5.113037864E0,5.173050404E0,7.750500441E-1,-8.295000076E0
5.133037864E0,5.307000160E0,6.610500216E-1,-8.353050232E0
5.153037864E0,5.307000160E0,6.610500216E-1,-8.179950714E0
5.173037864E0,5.344950199E0,6.799500585E-1,-8.161050797E0
5.193037864E0,5.499000072E0,6.220500469E-1,-8.122950554E0
5.213037864E0,5.518050194E0,6.220500469E-1,-8.046000481E0
5.233037864E0,5.460000038E0,7.369500399E-1,-8.104050636E0
5.253037864E0,5.440950394E0,8.140500188E-1,-8.122950554E0
5.273037864E0,5.499000072E0,7.950000167E-1,-8.179950714E0
5.293037864E0,5.344950199E0,6.610500216E-1,-8.200050354E0
5.313037864E0,5.307000160E0,6.990000606E-1,-8.237999916E0
5.333037864E0,5.211000443E0,8.329500556E-1,-8.257050514E0
5.353037864E0,5.173050404E0,8.899500370E-1,-8.179950714E0
5.373037864E0,5.173050404E0,7.950000167E-1,-8.200050354E0
5.393037864E0,5.173050404E0,7.560000420E-1,-8.179950714E0
5.413037864E0,5.269050121E0,7.180500627E-1,-8.237999916E0
5.433037864E0,5.344950199E0,6.990000606E-1,-8.200050354E0
5.453037864E0,5.191950321E0,6.990000606E-1,-8.257050514E0
5.473037864E0,5.211000443E0,7.750500441E-1,-8.218950272E0
5.493037864E0,5.326050282E0,8.140500188E-1,-8.104050636E0
5.513037864E0,5.422050476E0,7.750500441E-1,-8.065950394E0
5.533037864E0,5.440950394E0,7.369500399E-1,-8.065950394E0
5.553037864E0,5.403000355E0,6.799500585E-1,-8.257050514E0
5.573037864E0,5.556000233E0,7.560000420E-1,-7.836000443E0
5.593037864E0,5.536950111E0,6.610500216E-1,-7.836000443E0
5.613037864E0,5.575050354E0,5.460000038E-1,-8.046000481E0
5.633037864E0,5.614050388E0,4.500000179E-1,-8.257050514E0
5.653037864E0,5.518050194E0,5.839500427E-1,-8.161050797E0
5.673037864E0,5.556000233E0,8.140500188E-1,-7.932000160E0
5.693037864E0,5.556000233E0,8.520000577E-1,-8.104050636E0
5.713037864E0,5.536950111E0,7.950000167E-1,-8.142000198E0
5.733037864E0,5.556000233E0,8.329500556E-1,-8.122950554E0
5.753037864E0,5.518050194E0,8.140500188E-1,-8.046000481E0
5.773037864E0,5.499000072E0,6.799500585E-1,-8.065950394E0
5.793037864E0,5.440950394E0,6.799500585E-1,-8.161050797E0
5.813037864E0,5.518050194E0,6.799500585E-1,-8.257050514E0
5.833037864E0,5.422050476E0,6.610500216E-1,-8.161050797E0
5.853037864E0,5.383950233E0,8.329500556E-1,-8.085000038E0
5.873037864E0,5.383950233E0,8.329500556E-1,-8.065950394E0
5.893037864E0,5.440950394E0,8.140500188E-1,-8.046000481E0
5.913037864E0,5.499000072E0,7.369500399E-1,-8.085000038E0
5.933037864E0,5.536950111E0,6.610500216E-1,-8.142000198E0
5.953037864E0,5.593950272E0,7.180500627E-1,-8.008049965E0
5.973037864E0,5.671050072E0,6.990000606E-1,-7.969950199E0
5.993037864E0,5.689950466E0,6.030000448E-1,-8.026950836E0
6.013037864E0,5.671050072E0,5.839500427E-1,-8.046000481E0
6.033037864E0,5.671050072E0,5.839500427E-1,-7.989000320E0
6.053037864E0,5.671050072E0,5.839500427E-1,-7.989000320E0
6.073037864E0,5.689950466E0,5.839500427E-1,-8.085000038E0
6.093037864E0,5.632950306E0,5.839500427E-1,-8.161050797E0
6.113037864E0,5.499000072E0,6.409500241E-1,-8.237999916E0
6.133037864E0,5.344950199E0,6.409500241E-1,-8.179950714E0
6.153037864E0,5.287950039E0,6.409500241E-1,-8.122950554E0
6.173037864E0,5.307000160E0,6.799500585E-1,-7.951050282E0
6.193037864E0,5.479950428E0,8.140500188E-1,-7.816950321E0
6.213037864E0,5.671050072E0,8.710500598E-1,-7.951050282E0
6.233037864E0,5.805000305E0,9.480000734E-1,-8.179950714E0
6.253037864E0,5.901000500E0,8.140500188E-1,-7.969950199E0
6.273037864E0,5.920050144E0,6.610500216E-1,-7.836000443E0
6.293037864E0,5.842950344E0,6.799500585E-1,-7.912050247E0
6.313037864E0,5.767050266E0,8.140500188E-1,-7.873950481E0
